code	ds_type	max_v	min_v	name	node	node_idx	price	sub_division	idx	node_id	OUID	GasSort	SalesClientID	SupplyCategoryID	ClientStationID	ProvinceID	SalesType	ImportGasSourceType	TradeProp	GasDomestic
3779319634352668672	demand	4.480981	4.480981	A00000164	A00000165	3779318280410365952	12018.35	0	101	535	XSXB0002	10001		CS000001	ZDGN0619	PROV0015	2.0	null	null	null
3779319637276098560	demand	27.09224	27.09224	A00000166	A00000167	3779318279978352640	12018.35	0	102	474	XSXB0002	10001		CS000001	ZDGN0620	PROV0015	2.0	null	null	null
3779319638882516992	demand	104.8796	104.8796	A00000168	A00000169	3779318279361789952	18715.6	0	103	384	XSNF0004	10001		CS000001	ZDGN0179	PROV0025	2.0	null	null	null
3779319638882516993	demand	0.0	0.0	A00000170	A00000169	3779318279361789952	18715.6	0	104	384	XSNF0004	10003		CS000001	ZDGN0179	PROV0025	2.0	null	null	null
3779319638886711296	demand	0.0	0.0	A00000171	A00000169	3779318279361789952	18715.6	0	105	384	XSNF0004	10002		CS000001	ZDGN0179	PROV0025	2.0	null	null	null
3779319641126469632	demand	13.10755	13.10755	A00000172	A00000173	3779318280636858368	18715.6	0	106	569	XSNF0004	10001		CS000001	ZDGN0180	PROV0025	2.0	null	null	null
3779319642766442496	demand	108.0269	108.0269	A00000174	A00000175	3779318280645246976	18715.6	0	107	570	XSNF0004	10001		CS000001	ZDGN0181	PROV0025	2.0	null	null	null
3779319642770636800	demand	0.0	0.0	A00000176	A00000175	3779318280645246976	18715.6	0	108	570	XSNF0004	10003		CS000001	ZDGN0181	PROV0025	2.0	null	null	null
3779319642770636801	demand	0.0	0.0	A00000177	A00000175	3779318280645246976	0.0	0	109	570	XSNF0004	10008		LNG00004	ZDGN0181	PROV0025	5.0	null	null	null
3779319644943286272	demand	0.0	0.0	A00000178	A00000179	3779318280632664064	18715.6	0	110	568	XSNF0004	10006		CS000001	ZDGN0182	PROV0025	2.0	null	null	null
3779319644943286273	demand	43.68416	43.68416	A00000180	A00000179	3779318280632664064	18715.6	0	111	568	XSNF0004	10001		CS000001	ZDGN0182	PROV0025	2.0	null	null	null
3779319644947480576	demand	0.0	0.0	A00000181	A00000179	3779318280632664064	18715.6	0	112	568	XSNF0004	10003		CS000001	ZDGN0182	PROV0025	2.0	null	null	null
3779319648042876928	demand	6.455846	6.455846	A00000182	A00000183	3779318279357595648	18715.6	0	113	383	XSNF0004	10001		CS000001	ZDGN0284	PROV0025	2.0	null	null	null
3779319650093891584	demand	118.673	118.673	A00000184	A00000185	3779318280653635584	18715.6	0	114	571	XSNF0004	10001		CS000001	ZDGN0285	PROV0025	2.0	null	null	null
